time,edge_weight_89,edge_weight_810,edge_weight_811,edge_weight_812,edge_weight_813,edge_weight_914,edge_weight_915,edge_weight_916,edge_weight_917,edge_weight_918,edge_weight_1019,edge_weight_1020,edge_weight_1121,edge_weight_1122,edge_weight_1123,edge_weight_1224,edge_weight_1225,edge_weight_1326,edge_weight_1327
563,0,0,0,0,0,0,0,2289911,11,87,92,11,87,92,11,87,2290003,92,11
562,0,0,0,0,0,0,0,2298012,11,87,92,11,87,92,11,87,2298104,92,11
561,0,0,0,0,0,0,0,2306113,11,87,92,11,87,92,11,87,2306205,92,11
560,0,0,0,0,0,0,0,2314214,11,87,92,11,87,92,11,87,2314306,92,11
559,0,0,0,0,0,0,0,2322315,11,87,92,11,87,92,11,87,2322407,92,11
558,0,0,0,0,0,0,0,2330416,11,87,92,11,87,92,11,87,2330508,92,11
557,0,0,0,0,0,0,0,2338517,11,87,92,11,87,92,11,87,2338609,92,11
556,0,0,0,0,0,0,0,2346618,11,87,92,11,87,92,11,87,2346710,92,11
555,0,0,0,0,0,0,0,2354719,11,87,92,11,87,92,11,87,2354811,92,11
554,0,0,0,0,0,0,0,2362820,11,87,92,11,87,92,11,87,2362912,92,11
553,0,0,0,0,0,0,0,2370921,11,87,92,11,87,92,11,87,2371013,92,11
552,0,0,0,0,0,0,0,2379022,11,87,92,11,87,92,11,87,2379114,92,11
551,0,0,0,0,0,0,0,2387123,11,87,92,11,87,92,11,87,2387215,92,11
550,0,0,0,0,0,0,0,2395224,11,87,92,11,87,92,11,87,2395316,92,11
549,0,0,0,0,0,0,0,2403325,11,87,92,11,87,92,11,87,2403417,92,11
